code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,
,,,031105,7,Hoja de partición interior. de 20 cm de espesor. de fábrica de bloque hueco de hormigón. para revestir. color gris. 40x20x20 cm. resistencia normalizada R10 (10 N/mm2). con juntas horizontales y verticales de 10 mm de espesor. junta rehundida. recibida con mortero de cemento industrial. color gris. M-5. suministrado a granel.,,,,,,,,,
060301,06,0603,,2,Demolición de viga de madera de hasta 1000 cm2 de sección y hasta 4 m de longitud media,,,,1.000,17.28,8,m,,
MAQ0005,,,060301,5,Motosierra a gasolina. de 50 cm de espada y 2 kW de potencia.,,,0.50,0.232,,,h,3.36,
O01OA070,,,060301,4,Peón ordinario,,,0.50,0.232,,,h,21.15,
O01OA071,,,060301,4,Peón especializado,,,,0.463,,,h,22.43,
,,,060301,7,Demolición de viga de madera de hasta 1000 cm2 de sección y hasta 4 m de longitud media. con medios manuales y motosierra. y carga manual sobre camión o contenedor.,,,,,,,,,
060302,06,0603,,2,Demolición de viga de madera de hasta 1000 cm2 de sección y 4 a 5 m de longitud media,,,,1.000,16.91,8,m,,
MAQ0005,,,060302,5,Motosierra a gasolina. de 50 cm de espada y 2 kW de potencia.,,,0.50,0.236,,,h,3.36,
O01OA070,,,060302,4,Peón ordinario,,,0.50,0.236,,,h,21.15,
O01OA071,,,060302,4,Peón especializado,,,,0.473,,,h,22.43,
,,,060302,7,Demolición de viga de madera de hasta 1000 cm2 de sección y 4 a 5 m de longitud media. con medios manuales y motosierra. y carga manual sobre camión o contenedor.,,,,,,,,,
060303,06,0603,,2,Demolición de viga de madera de hasta 1000 cm2 de sección y 5 a 6 m de longitud media,,,,1.000,16.13,8,m,,
MAQ0005,,,060303,5,Motosierra a gasolina. de 50 cm de espada y 2 kW de potencia.,,,0.50,0.248,,,h,3.36,
O01OA070,,,060303,4,Peón ordinario,,,0.50,0.248,,,h,21.15,
O01OA071,,,060303,4,Peón especializado,,,,0.496,,,h,22.43,
,,,060303,7,Demolición de viga de madera de hasta 1000 cm2 de sección y 5 a 6 m de longitud media. con medios manuales y motosierra. y carga manual sobre camión o contenedor.,,,,,,,,,
060304,06,0603,,2,Demolición de viga de madera de hasta 1000 cm2 de sección y más de 6 m de longitud media,,,,1.000,15.38,8,m,,
MAQ0005,,,060304,5,Motosierra a gasolina. de 50 cm de espada y 2 kW de potencia.,,,0.50,0.260,,,h,3.36,
O01OA070,,,060304,4,Peón ordinario,,,0.50,0.260,,,h,21.15,
O01OA071,,,060304,4,Peón especializado,,,,0.520,,,h,22.43,
,,,060304,7,Demolición de viga de madera de hasta 1000 cm2 de sección y más de 6 m de longitud media. con medios manuales y motosierra. y carga manual sobre camión o contenedor.,,,,,,,,,
120301,12,1203,,2,Desmontaje de cobertura de tejas  en cubierta inclinada.,,,,1.000,16.23,8,m2,,
O01OA080,,,120301,4,Oficial 1ª ,,,0.22,0.110,,,h,22.27,
O01OA070,,,120301,4,Peón ordinario,,,1,0.493,,,h,21.15,
,,,120301,7,"Desmontaje de cobertura de teja cerámica curva. colocada con mortero a menos de 20 m de altura. en cubierta inclinada a dos aguas con una pendiente media del 30%, con medios manuales. y carga manual sobre camión o contenedor. El precio incluye el desmontaje de los elementos de fijación. de los remates. de los canalones y de las bajantes.",,,,,,,,,
120302,12,1203,,2,Desmontaje de cobertura de tejas  en cubierta inclinada con recuperación del 10% del material,,,,1.000,14.06,8,m2,,
O01OA080,,,120302,4,Oficial 1ª ,,,0.22,0.123,,,h,22.27,
O01OA070,,,120302,4,Peón ordinario,,,1,0.569,,,h,21.15,
,,,120302,7,"Desmontaje de cobertura de teja cerámica curva. colocada con mortero a menos de 20 m de altura. en cubierta inclinada a dos aguas con una pendiente media del 30%, con medios manuales y recuperación del 10% del material para su posterior ubicación en otro emplazamiento. siendo el orden de ejecución del proceso inverso al de su instalación. y carga manual sobre camión o contenedor. El precio incluye el desmontaje de los elementos de fijación. de los remates. de los canalones y de las bajantes.",,,,,,,,,
120303,12,1203,,2,Demolición de cumbrera de cubierta inclinada. ubicada a una altura de hasta 20 m,,,,1.000,109.59,8,m,,
O01OA070,,,060103,4,Peón ordinario,,,1,0.073,,,h,21.15,
,,,060103,7,Demolición de cumbrera de cubierta inclinada. ubicada a una altura de hasta 20 m. con medios manuales. sin afectar a la estabilidad de los elementos constructivos contiguos. y carga manual sobre camión o contenedor.,,,,,,,,,
120304,12,1203,,2,Demolición de cumbrera de cubierta inclinada. ubicada a una altura de entre 20 y 40 m,,,,1.000,100.00,8,m,,
O01OA070,,,120304,4,Peón ordinario,,,1,0.080,,,h,21.15,
,,,120304,7,Demolición de cumbrera de cubierta inclinada. ubicada a una altura de entre 20 y 40 m. con medios manuales. sin afectar a la estabilidad de los elementos constructivos contiguos. y carga manual sobre camión o contenedor.,,,,,,,,,
120305,12,1203,120305,2,Demolición de cumbrera de cubierta inclinada. ubicada a una altura mayor de 40 m.,,,,1.000,90.91,8,m,,
O01OA070,,,120305,4,Peón ordinario,,,1,0.088,,,h,21.15,
,,,120305,7,Demolición de cumbrera de cubierta inclinada. ubicada a una altura mayor de 40 m. con medios manuales. sin afectar a la estabilidad de los elementos constructivos contiguos. y carga manual sobre camión o contenedor.,,,,,,,,,
016101,,,,2,Transporte con camión de residuos inertes de ladrillos. tejas y materiales cerámicos,,,,1.000,75.47,8,m3,,
MAQ0006,,,016101,5,Camión de transporte de 10 t con una capacidad de 8 m3 y 2 ejes.,,,1,0.106,,,h,59.60,
%Medios auxiliares,,,016101,6,Medios auxiliares ,,,,,,,%,2.00,
,,,016101,7,Transporte con camión de residuos inertes de ladrillos. tejas y materiales cerámicos. producidos en obras de construcción y/o demolición. a vertedero específico. instalación de tratamiento de residuos de construcción y demolición externa a la obra o centro de valorización o eliminación de residuos. situado a 10 km de distancia.,,,,,,,,,
016102,01,0161,,2,Transporte con camión de residuos inertes de hormigones. morteros y prefabricados producidos en obras de construcción y/o demolición,,,,1.000,50.31,8,m3,,
MAQ0006,,,016102,5,Camión de transporte de 10 t con una capacidad de 8 m3 y 2 ejes.,,,1,0.159,,,h,59.60,
%Medios auxiliares,,,016102,6,Medios auxiliares ,,,,,,,%,2.00,
,,,016102,7,Transporte con camión de residuos inertes de hormigones. morteros y prefabricados producidos en obras de construcción y/o demolición. a vertedero específico. instalación de tratamiento de residuos de construcción y demolición externa a la obra o centro de valorización o eliminación de residuos. situado a 10 km de distancia. El precio incluye el tiempo de espera en obra durante las operaciones de carga. el viaje de ida. la descarga y el viaje de vuelta. pero no incluye la carga en obra,,,,,,,,,
016103,01,0161,,2,Transporte con camión de residuos inertes vítreos producidos en obras de construcción y/o demolición,,,,1.000,45.98,8,m3,,
MAQ0006,,,016103,5,Camión de transporte de 10 t con una capacidad de 8 m3 y 2 ejes.,,,1,0.174,,,h,59.60,
%Medios auxiliares,,,016103,6,Medios auxiliares ,,,,,,,%,2.00,
,,,016103,7,Transporte con camión de residuos inertes vítreos producidos en obras de construcción y/o demolición. a vertedero específico. instalación de tratamiento de residuos de construcción y demolición externa a la obra o centro de valorización o eliminación de residuos. situado a 10 km de distancia. El precio incluye el tiempo de espera en obra durante las operaciones de carga. el viaje de ida. la descarga y el viaje de vuelta. pero no incluye la carga en obra.,,,,,,,,,
016104,01,0161,,2,Transporte con camión de residuos inertes de madera producidos en obras de construcción y/o demolición,,,,1.000,129.03,8,m3,,
MAQ0006,,,016104,5,Camión de transporte de 10 t con una capacidad de 8 m3 y 2 ejes.,,,1,0.062,,,h,59.60,
%Medios auxiliares,,,016104,6,Medios auxiliares ,,,,,,,%,2.00,
,,,016104,7,Transporte con camión de residuos inertes de madera producidos en obras de construcción y/o demolición. a vertedero específico. instalación de tratamiento de residuos de construcción y demolición externa a la obra o centro de valorización o eliminación de residuos. situado a 10 km de distancia. El precio incluye el tiempo de espera en obra durante las operaciones de carga. el viaje de ida. la descarga y el viaje de vuelta. pero no incluye la carga en obra.,,,,,,,,,
016105,01,0161,,2,Transporte con camión de residuos inertes plásticos producidos en obras de construcción y/o demolición,,,,1.000,88.89,8,m3,,
MAQ0006,,,016105,5,Camión de transporte de 10 t con una capacidad de 8 m3 y 2 ejes.,,,1,0.090,,,h,59.60,
%Medios auxiliares,,,016105,6,Medios auxiliares ,,,,,,,%,2.00,
,,,016105,7,Transporte con camión de residuos inertes plásticos producidos en obras de construcción y/o demolición. a vertedero específico. instalación de tratamiento de residuos de construcción y demolición externa a la obra o centro de valorización o eliminación de residuos. situado a 10 km de distancia. El precio incluye el tiempo de espera en obra durante las operaciones de carga. el viaje de ida. la descarga y el viaje de vuelta. pero no incluye la carga en obra.,,,,,,,,,
016106,01,0161,,2,Transporte con camión de residuos inertes de papel y cartón. producidos en obras de construcción y/o demolición,,,,1.000,142.86,8,m3,,
MAQ0006,,,016106,5,Camión de transporte de 10 t con una capacidad de 8 m3 y 2 ejes.,,,1,0.056,,,h,59.60,
%Medios auxiliares,,,016106,6,Medios auxiliares ,,,,,,,%,2.00,
,,,016106,7,Transporte con camión de residuos inertes de papel y cartón. producidos en obras de construcción y/o demolición. a vertedero específico. instalación de tratamiento de residuos de construcción y demolición externa a la obra o centro de valorización o eliminación de residuos. situado a 10 km de distancia. El precio incluye el tiempo de espera en obra durante las operaciones de carga. el viaje de ida. la descarga y el viaje de vuelta. pero no incluye la carga en obra.,,,,,,,,,
